ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
116,Telefon,Xiaomi 15 Ultra 512GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,16GB,512GB,,6.73 inç AMOLED 120Hz,Android 15,82089,5000,50+50+50+12MP,Evet,Evet,IP68,,,,,,,,,
117,Bilgisayar,MacBook Pro M5 16GB 14 512GB,İş İstasyonu,Yazılım Geliştirme,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,85052,,,,,,,,,,,,,,
118,Bilgisayar,Lenovo Legion 5 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42457,,,,,,,,,,,,,,
119,Akıllı Saat / Bileklik,Samsung Galaxy Watch Ultra LTE,Premium & Spor,Outdoor & Doğa,Exynos W1000,,,,,Wear OS 5,25601,,,,,10ATM,Evet,,,,,,,,48
120,Telefon,Xiaomi 14T 256GB,Üst Segment,Günlük Kullanım,MediaTek Dimensity 8300 Ultra,12GB,256GB,,6.67 inç AMOLED 144Hz,Android 14,20791,5000,50+12+2MP,Evet,Evet,IP68,,,,,,,,,
121,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,99023,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
122,Bilgisayar,Lenovo Legion 5 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41925,,,,,,,,,,,,,,
123,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,153357,,,,,,,,,,,,,,
124,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,54941,,,,,,,,,,,,,,
125,Akıllı Saat / Bileklik,Apple Watch Series 10 46mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,25164,,,,,WR50,Evet,,,,,,,,18
126,Bilgisayar,Dell XPS 13 i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1360P,16GB,512GB SSD,Intel Iris Xe Graphics,13.4 inç FHD+ OLED 60Hz,Windows 11 Pro,52203,,,,,,,,,,,,,,
127,Bilgisayar,Asus VivoBook 15 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12339,,,,,,,,,,,,,,
128,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13038,,,,,,,,,,,,,,
129,Kulaklık,JBL Tour One M2,Üst Segment,Müzik Dinleme,,,,,,,8020,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,30 saat,
130,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,4958,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
131,Kulaklık,Anker Soundcore Liberty 4 NC,Orta Segment,Bütçe Dostu,,,,,,,2017,,,,,,,TWS,11mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 50),
132,Kulaklık,Sennheiser Momentum 4,Üst Segment,Müzik Dinleme,,,,,,,10002,,,,,,,Kulak Üstü Kablosuz,42mm,6Hz-22kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,60 saat,
133,Telefon,Samsung Galaxy A36 256GB,Orta Segment,Günlük Kullanım,Snapdragon 6 Gen 3,8GB,256GB,,6.6 inç Super AMOLED 120Hz,Android 15,19234,5000,50+8+5MP,Evet,Evet,IP67,,,,,,,,,
134,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,117986,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
135,Tablet,Samsung Galaxy Tab S9 Ultra Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,14.6 inç Dynamic AMOLED 2X 120Hz,Android 14,49903,,,Hayır,Evet,IP68,,,,,,,,,
136,Telefon,Redmi Note 14 Pro 256GB,Orta Segment,Günlük Kullanım,MediaTek Dimensity 7300 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,13991,5500,108+8+2MP,Evet,Hayır,IP54,,,,,,,,,
137,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,13692,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
138,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,15297,,,Hayır,Evet,IP68,,,,,,,,,
139,Bilgisayar,Dell Inspiron 15 5000 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21283,,,,,,,,,,,,,,
140,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,62553,,,,,,,,,,,,,,
141,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,101411,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
142,Bilgisayar,MSI Raider GE78 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,17.3 inç QHD+ MiniLED 240Hz,Windows 11 Home,121608,,,,,,,,,,,,,,
143,Bilgisayar,Asus ZenBook 14 OLED i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1355U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2.8K OLED 90Hz,Windows 11 Home,35473,,,,,,,,,,,,,,
144,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13740,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
145,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,5092,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
146,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,8934,,,,,5ATM,Evet,,,,,,,,16
147,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,11162,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
148,Kulaklık,Samsung Galaxy Buds 4 Pro,Üst Segment,Günlük Kullanım,,,,,,,10382,,,,,,,TWS,10.5mm,20Hz-24kHz,Adaptif ANC,4 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
149,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,149706,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
150,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,13609,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
151,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,73110,3279,48MP,Evet,Evet,IP68,,,,,,,,,
152,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5555,,,,,5ATM,Evet,,,,,,,,14
153,Kulaklık,Sennheiser MTW4,Üst Segment,Müzik Dinleme,,,,,,,7850,,,,,,,TWS,7mm,5Hz-21kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.4,7.5 saat (kılıfla 30),
154,Tablet,Microsoft Surface Pro 10 i7 512GB,Pro,İş,Intel Core Ultra 7 164U,32GB,512GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,80620,,,Hayır,Evet,Yok,,,,,,,,,
155,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,85557,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
156,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6466,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
157,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,58310,,,Evet,Evet,IP68,,,,,,,,,
158,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,48213,,,,,10ATM,Evet,,,,,,,,60
159,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6652,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
160,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5569,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
161,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,85999,,,,,,,,,,,,,,
162,Telefon,Nothing Phone (3) 256GB,Üst Segment,Günlük Kullanım,Snapdragon 8s Gen 4,12GB,256GB,,6.77 inç LTPO AMOLED 120Hz,Android 15,28003,5000,50+50MP,Evet,Evet,IP54,,,,,,,,,
163,Bilgisayar,Lenovo Yoga 7 2-in-1 i5,Üst Segment,İçerik Üretimi,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,30864,,,,,,,,,,,,,,
164,Kulaklık,Jabra Evolve2 85,Premium & Hi-Fi,İş & Video Konferans,,,,,,,14206,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,8 mikrofon,Bluetooth 5.0,37 saat,
165,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,22487,,,Hayır,Evet,IP68,,,,,,,,,
166,Telefon,Samsung Galaxy S25 256GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,256GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,49679,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
167,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,67079,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
168,Bilgisayar,MacBook Pro M4 Pro 14 24GB,İş İstasyonu,Yazılım Geliştirme,Apple M4 Pro,24GB,512GB SSD,Apple M4 Pro GPU 20-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,94349,,,,,,,,,,,,,,
169,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,17851,,,Hayır,Hayır,Yok,,,,,,,,,
170,Bilgisayar,Samsung Galaxy Book4 Pro i7,Üst Segment,Günlük Kullanım,Intel Core Ultra 7 155H,16GB,512GB SSD,Intel Arc Graphics,14 inç 2.8K AMOLED 120Hz,Windows 11 Home,39265,,,,,,,,,,,,,,
171,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,43225,,,,,,,,,,,,,,
172,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,17886,,,Hayır,Hayır,Yok,,,,,,,,,
173,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13133,,,,,,,,,,,,,,
174,Bilgisayar,MSI Modern 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,22331,,,,,,,,,,,,,,
175,Bilgisayar,Lenovo ThinkPad X1 Carbon i7,İş İstasyonu,Yazılım Geliştirme,Intel Core i7-1365U,32GB,1TB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Pro,67375,,,,,,,,,,,,,,
176,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14760,,,,,,,,,,,,,,
177,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,84078,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
178,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40661,,,,,,,,,,,,,,
179,Bilgisayar,Acer Aspire 3 A315 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13061,,,,,,,,,,,,,,
180,Bilgisayar,Asus ZenBook 14 OLED i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1355U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2.8K OLED 90Hz,Windows 11 Home,35654,,,,,,,,,,,,,,
181,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,86280,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
182,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,161287,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
183,Akıllı Saat / Bileklik,Huawei Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2041,,,,,5ATM,Hayır,,,,,,,,14
184,Telefon,Samsung Galaxy A36 256GB,Orta Segment,Günlük Kullanım,Snapdragon 6 Gen 3,8GB,256GB,,6.6 inç Super AMOLED 120Hz,Android 15,18975,5000,50+8+5MP,Evet,Evet,IP67,,,,,,,,,
185,Kulaklık,Anker Soundcore Liberty 4 NC,Orta Segment,Bütçe Dostu,,,,,,,1991,,,,,,,TWS,11mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 50),
186,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,58842,,,Hayır,Evet,Yok,,,,,,,,,
187,Bilgisayar,Lenovo IdeaPad Slim 3 Ryzen 5,Orta Segment,Öğrenci,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M,15.6 inç FHD IPS 60Hz,Windows 11 Home,22308,,,,,,,,,,,,,,
188,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,124526,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
189,Bilgisayar,HP Pavilion 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21004,,,,,,,,,,,,,,
190,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14599,,,,,,,,,,,,,,
191,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,24422,,,Hayır,Evet,IP68,,,,,,,,,
192,Telefon,POCO X7 Pro 256GB,Orta Segment,Oyun,MediaTek Dimensity 8400 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 15,16047,5900,50+8+2MP,Evet,Evet,IP64,,,,,,,,,
193,Akıllı Saat / Bileklik,Apple Watch Series 10 42mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,21631,,,,,WR50,Evet,,,,,,,,18
194,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,41716,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
195,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,39394,,,,,,,,,,,,,,
196,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,15001,,,Hayır,Evet,IP68,,,,,,,,,
197,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,37970,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
198,Telefon,Asus ROG Phone 9 Pro 512GB,Amiral Gemisi,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.78 inç AMOLED 185Hz,Android 15,55173,5800,50+13+5MP,Evet,Evet,IP54,,,,,,,,,
199,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5398,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
200,Akıllı Saat / Bileklik,Xiaomi Smart Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1206,,,,,5ATM,Hayır,,,,,,,,21
201,Kulaklık,Sony WH-CH720N,Orta Segment,Günlük Kullanım,,,,,,,4580,,,,,,,Kulak Üstü Kablosuz,30mm,20Hz-20kHz,Dijital ANC,2 mikrofon,Bluetooth 5.2,35 saat,
202,Akıllı Saat / Bileklik,Amazfit GTR 5,Orta Segment,Fitness & Spor,—,,,,,Zepp OS,4570,,,,,5ATM,Evet,,,,,,,,14
203,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,92407,,,,,,,,,,,,,,
204,Akıllı Saat / Bileklik,Huawei Watch GT 5 41mm,Orta Segment,Fitness & Spor,Kirin A2,,,,,HarmonyOS Watch,6010,,,,,5ATM,Evet,,,,,,,,7
205,Kulaklık,Jabra Evolve2 85,Premium & Hi-Fi,İş & Video Konferans,,,,,,,13796,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,8 mikrofon,Bluetooth 5.0,37 saat,
206,Kulaklık,Apple AirPods Pro 3,Üst Segment,Günlük Kullanım,,,,,,,11758,,,,,,,TWS,6mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.4,8 saat (kılıfla 36),
207,Bilgisayar,Dell XPS 13 i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1360P,16GB,512GB SSD,Intel Iris Xe Graphics,13.4 inç FHD+ OLED 60Hz,Windows 11 Pro,53327,,,,,,,,,,,,,,
208,Telefon,Redmi Note 14 128GB,Orta Segment,Bütçe Dostu,Snapdragon 685,8GB,128GB,,6.67 inç IPS LCD 90Hz,Android 14,8983,5500,108+2+2MP,Hayır,Hayır,IP54,,,,,,,,,
209,Akıllı Saat / Bileklik,Amazfit T-Rex 3,Üst Segment,Outdoor & Doğa,—,,,,,Zepp OS,10236,,,,,10ATM,Evet,,,,,,,,20
210,Akıllı Saat / Bileklik,Redmi Watch 5 Active,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1470,,,,,5ATM,Evet,,,,,,,,18
211,Akıllı Saat / Bileklik,Huawei Watch Fit 3,Orta Segment,Fitness & Spor,—,,,,,RTOS,4599,,,,,5ATM,Evet,,,,,,,,10
212,Kulaklık,Beyerdynamic DT 770 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,4898,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Kapalı Tasarım,—,Kablolu 3.5mm/6.35mm,—,
213,Akıllı Saat / Bileklik,Apple Watch SE 2 44mm GPS+Cellular,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,17301,,,,,WR50,Evet,,,,,,,,18
214,Bilgisayar,Asus ProArt Studiobook 16,İş İstasyonu,3D Modelleme,Intel Core i9-13980HX,64GB,2TB SSD,NVIDIA RTX 4080 12GB,16 inç 3.2K OLED 120Hz,Windows 11 Pro,122530,,,,,,,,,,,,,,
215,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,26123,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
216,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,44539,,,,,,,,,,,,,,
217,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,41975,,,,,10ATM,Evet,,,,,,,,29
218,Telefon,Sony Xperia 10 VII 128GB,Orta Segment,Günlük Kullanım,Snapdragon 6 Gen 1,6GB,128GB,,6.1 inç FHD+ OLED 60Hz,Android 15,19162,5000,48+8MP,Evet,Evet,IP68,,,,,,,,,
219,Akıllı Saat / Bileklik,Garmin Venu 3,Üst Segment,Sağlık Takibi,Garmin özel,,,,,Garmin OS,18003,,,,,5ATM,Evet,,,,,,,,14
220,Akıllı Saat / Bileklik,Amazfit T-Rex 3,Üst Segment,Outdoor & Doğa,—,,,,,Zepp OS,9877,,,,,10ATM,Evet,,,,,,,,20
221,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12870,,,,,5ATM,Evet,,,,,,,,40
222,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8157,,,Hayır,Hayır,Yok,,,,,,,,,
223,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,21451,,,Hayır,Evet,IP68,,,,,,,,,
224,Kulaklık,Jabra Elite 10,Üst Segment,İş & Video Konferans,,,,,,,6969,,,,,,,TWS,10mm,20Hz-20kHz,MultiSensor ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 27),
225,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,99939,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
226,Kulaklık,JBL Tour One M2,Üst Segment,Müzik Dinleme,,,,,,,7896,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,30 saat,
227,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,37941,,,Hayır,Evet,IP68,,,,,,,,,
228,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,25690,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
229,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32262,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
230,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,125923,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
231,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16139,,,Evet,Evet,IP68,,,,,,,,,
232,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,56409,,,,,,,,,,,,,,
